cycle,write_word,write_enable,read_enable,clk_freq_mhz,setup_time_ps,hold_time_ps,temp_c,fault_type,is_anomaly
1,7,1,0,200.0,899.3729073505397,571.4956681182553,29.906005381370022,NORMAL,0
2,30,1,0,100.0,972.3235779435115,452.70660546817084,43.84221014362886,NORMAL,0
3,67,1,0,50.0,962.1145825125167,513.1244051595144,39.86247534422522,NORMAL,0
4,124,1,0,200.0,1089.9168808906388,563.9467314315614,54.50885767564712,NORMAL,0
5,70,1,0,200.0,954.3037335337042,542.140993041009,55.646639803532395,NORMAL,0
6,103,0,1,50.0,901.5004650532405,503.37217096185725,50.521620624110554,NORMAL,0
7,245,1,0,133.0,1163.2638084267226,494.7809271145784,67.85903216666738,OVERFLOW,1
8,51,0,1,50.0,999.2481882846181,459.8466632335425,49.55145008087456,NORMAL,0
9,26,0,1,200.0,1061.7154645294715,555.3886236004729,37.23459942288328,NORMAL,0
10,156,0,1,50.0,847.3897089994266,514.4721884801701,79.32321609575322,NORMAL,0
11,51,1,0,133.0,1064.042878435698,480.99701773550726,45.492465022210865,NORMAL,0
12,51,1,0,50.0,1063.8850534447674,484.2517796092191,35.508166103109055,NORMAL,0
13,81,1,0,133.0,1028.7025993404652,521.9027332320633,53.13311676892049,NORMAL,0
14,213,1,0,50.0,1106.5253523398026,517.6831902059329,51.4122831561657,BIT_FLIP,1
15,235,1,0,200.0,830.695856894488,565.1219147144111,72.14829260468257,NORMAL,0
16,110,0,1,50.0,983.139686695058,552.6874450103696,50.12899912284614,NORMAL,0
17,188,0,1,133.0,1013.194835943536,511.8461345209957,39.7581409018684,NORMAL,0
18,213,0,1,133.0,768.4935379990046,547.4461803201448,77.85367645336494,BIT_FLIP,1
19,254,0,1,100.0,1079.4134695736414,451.708261417328,56.554900023347884,NORMAL,0
20,12,0,1,200.0,957.2992056973599,417.23797402185227,36.36186933273813,NORMAL,0
21,243,1,0,100.0,824.5397207672559,426.6990222388707,39.76693610510659,NORMAL,0
22,98,1,0,133.0,1062.5789535960723,531.6814752245061,46.37919901474987,NORMAL,0
23,12,1,0,200.0,785.1715402013477,479.60458915004745,73.18961028540355,NORMAL,0
24,185,1,0,100.0,1048.890636194351,441.18234965995583,58.53107728510038,NORMAL,0
25,10,1,0,100.0,914.9322751975269,444.6914632904447,27.36490855052009,NORMAL,0
26,151,0,1,200.0,1205.244865775081,485.24662974579553,26.95960471548884,NORMAL,0
27,124,0,1,50.0,948.4238589526968,450.0402305604772,78.61223570915206,NORMAL,0
