cycle,write_word,write_enable,read_enable,clk_freq_mhz,setup_time_ps,hold_time_ps,temp_c,fault_type,is_anomaly
1,40,1,0,200.0,1000.248040066813,498.1869415062374,58.1524112391476,NORMAL,0
2,140,1,0,50.0,1031.9597778613497,511.3670197339882,40.97131359050148,NORMAL,0
3,115,1,0,100.0,1091.0359136917039,619.90540702013,26.529815250159093,NORMAL,0
4,223,1,0,50.0,1056.0074510013794,507.00271592404573,83.67471459313903,NORMAL,0
5,164,1,0,50.0,971.4885192862016,513.1643864300032,52.39014765823002,NORMAL,0
6,38,0,1,50.0,1175.325833776168,496.9768148612942,51.501152098843036,NORMAL,0
7,0,0,1,50.0,1116.8931569419187,549.4022889436965,38.47892836804286,NORMAL,0
8,191,0,1,50.0,1039.2447742036131,516.0894187984654,33.42162513948743,NORMAL,0
9,155,0,1,200.0,971.9386057493934,518.1414036048535,28.933198575186374,NORMAL,0
10,229,0,1,133.0,772.6261457294822,560.9048201748487,62.03367859751482,NORMAL,0
11,222,1,0,100.0,1090.331875423344,577.1784198572194,78.60804071445779,NORMAL,0
12,249,1,0,200.0,875.4652617547541,547.6091440287205,74.98717559096104,NORMAL,0
13,110,1,0,50.0,1228.326095074597,507.44557960436623,71.34869923483346,NORMAL,0
14,131,1,0,50.0,936.665154945007,475.6359416569422,72.13033541370974,NORMAL,0
15,209,1,0,100.0,943.3395850187351,460.4696001848281,49.183168006132625,NORMAL,0
16,203,0,1,133.0,1129.1496804892925,489.993025299008,47.772532094431426,NORMAL,0
17,49,0,1,133.0,843.753145743864,466.17666892823365,46.85916255592019,NORMAL,0
18,180,0,1,100.0,896.964590408502,564.2761951473992,81.16765099090534,NORMAL,0
19,45,0,1,133.0,1005.3538771836675,398.7940362787845,40.29035464337025,NORMAL,0
20,196,0,1,50.0,1011.3274683117276,429.55317502012684,82.6328893664382,NORMAL,0
21,52,1,0,133.0,1065.6973257518114,506.84993170502435,74.78967847907451,NORMAL,0
22,122,1,0,200.0,886.2171355767257,499.78252825982577,36.670879167592574,NORMAL,0
23,76,1,0,200.0,1054.5811690678393,465.314669704754,61.53410406499201,NORMAL,0
24,50,1,0,133.0,870.0265066596784,490.0977570471824,63.62344699670636,NORMAL,0
25,121,1,0,200.0,936.4489344301412,463.5973556821207,37.265241140416,NORMAL,0
26,251,0,1,50.0,1110.6352258750455,513.4095705560478,45.08365015340045,NORMAL,0
27,166,0,1,100.0,958.9586100128786,517.037692210756,43.15968821108169,NORMAL,0
28,11,0,1,200.0,954.4648024403683,525.4352557395772,68.05282862172434,NORMAL,0
29,66,0,1,100.0,848.6607886844524,503.4989915611251,44.36310107337289,NORMAL,0
30,108,0,1,133.0,1183.6753210066825,543.1391079622101,30.33158781925918,NORMAL,0
31,94,1,0,200.0,855.1337690174989,528.7442262990601,80.45058837368431,NORMAL,0
32,188,1,0,100.0,1027.413247663957,455.9759124888981,46.124393479208855,NORMAL,0
33,197,1,0,200.0,861.2979891482331,528.8410816935997,31.120208593788625,NORMAL,0
34,25,1,0,200.0,794.7605176532352,433.7287535753702,65.62330062259937,NORMAL,0
35,158,1,0,133.0,876.3520548793201,479.94527569291415,38.769010417525706,NORMAL,0
36,185,0,1,100.0,992.2640714006553,568.3172712157162,66.18725134856045,NORMAL,0
37,97,0,1,133.0,982.3770888858958,544.3338911003889,67.90177279739612,NORMAL,0
38,112,0,1,133.0,849.521122603184,499.07942309854104,83.72048856508937,NORMAL,0
39,169,0,1,133.0,811.2012867336226,447.70378511307626,39.0428789536875,NORMAL,0
40,16,0,1,200.0,1085.0008586453046,447.1166732339018,62.43451149081172,NORMAL,0
41,215,1,0,133.0,1034.8336952275922,474.8391070906699,82.36474750347004,NORMAL,0
